1;подарок любимой;духи, цветы, шоколад;23 02 2023 13:10:31
2;подарок жене на ДР;Новый телефон;23 02 2023 21:00:19
3;Купить масло для машины;Shell Helix Ultra 5w40;24 02 2023 11:14:44
4;Записаться на сервис;до 1 марта;23 02 2023 21:02:27
5;записаться к стоматологу;до субботы;23 02 2023 22:05:40
6;купить билеты на хоккей;2 билета, на центральный сектор;23 02 2023 22:05:40
7;билеты в цирк;4 билета;23 02 2023 22:05:40
8;летняя резина;купить комплект, Pirelli 205/55 R16;23 02 2023 22:19:50
9;Фильмы для Папы;скинуть на HDD все фильмы;24 02 2023 11:08:16
10;подписка на Кинопоиск;Продлить подписку до 1 марта;24 02 2023 11:58:08
11;Обновить айПад;скачать последнее обновление вечером;24 02 2023 11:58:08
